Zhong Yuan,POSIOS
Jan Hollez,POSIOS
Zhong Xu,POSIOS
Jelte Vrijhoef,BonChef.nl
Jonas Dhaenens,Pitchdrive
Marek Sacha,Benefio
Martin Kring,Relabee, Kring, Valified
Martin Villig,Garage48 Foundation
Mikki Kuusi,Slush
Mika Matikainen,Avenla
Lauri Andler,Tuubio Oy
Elias Aalto,Qvik
Ilkka Paananen,Sumea
Mikko Kodisoja,Sumea
Jean-Charles Samuelian,Expliseat
Stanislas Niox-Chateau,Otium Capital
Jessy Bernal,MassiveBrainGames
Steve Abou Rjeily,Mon Amour Korea
Simon Krüger,Vade VR
Franck Tetzlaff,Kobojo
Rodolphe Ardant,eFounders
Jordane Giuly,Rebble
Thibaud Elziere,eFounders
Quentin Nickmans,Quinvest
Pierre Verstraeten,Atscale
Loic Soubeyrand,Teads.tv
Christian Jorge,www.shade-beauty.com
Phillipe Corrot,SplitGames
Nussenbaum,SplitGames
Nicolas Julia,La Javaness
Charles Egly,Olórin Foundation
Nicolas Bacca,Ubinity
Nicholas Bacca,La
Vincent Rosso,Canal Nexo
Thomas Rebaud,Geoks
Mario Kohle,BEKO Käferportal GmbH
Hanno Renner,Feedbackme
Arseniy Vershinin,nuclino
Roman Schumacher,Feedbackme
Mathis Büchi,Smallpdf
Martin Böhringer,Hojoki
Lutz Gerlach,Hojoki
Ferry Heilemann,DailyDeal GmbH
Nikolas Bullwinkel,Pickery
Saad Saeed,Pickery GmbH
Julian Dames,foodora
Philipp Triebel,IVY
Malte Horeyseck,lar.com.br
Tushar A.,StalkBuyLove
Christoph Felix Gamon,ConCloud GmbH
Jonas Diezun,RADICE
Julian Blessin,Fruity Ventures GmbH
Lawrence Leuschner,Blue Impact
Josef Vataman,Sellics
Kağan Sümer,Rocket Internet SE
Shibley,noknok
Ugur Samut,Medigo
Ronny Gottschlich,Heenadel Retail
Sascha Konietzke,Thriventures
Manuela Rabener,Ella Rabener
Florian Eismann,FRIDAY
André Schwämmlein,FlixBus
Manuel Kniep,campus vision GmbH
Müller,rapidrabbit
Alexander Artopé,datango AG
Marc Samwer,Jamba! AG / ilove
Aidan Corbett,Conjura
Mantas Mikuckas,Practica Capital
Frederik Pfisterer,Solarize
Ali Niknam,MessageBird, Stash Ventures
Adriaan Mol,Stash Ventures
Rene Feiner,VisualWeb B.V
Adriaan Mol,Stash Ventures
Karl Munthe-Kaas,Evacuaid
Andreas Skaranger,Kontribit
Mats André Kristiansen,Lemonade AS
Christian Mikalsen,Funkbit AS
Tommy Gudmundsen,Funkbit
Jakub Skoczylas,GoldenLin Sp.z o.o.
Grzegorz Krysiak,GoldenLin Sp.z o.o.
Felipe Navio,Entradia
Juan Urdiales,Pluscuamperfecta
Miguel Fernandez Larrea,HeydeyBrands
Avi Meir,Hotel Ninjas
Oscar Pierre,FUO Concept
Miguel Vincente,LetsBonus
Sacha Michaud,Jdigital
Gerard Olivé,WallaPop
Niklas Adalberth,Norskken Foundation
Robert Falck,The Great Wild
Fredrik Hjelm,Guestit
Keith Richman,OnePage
Daniel Kjellén,The Gifted Company
Fredrik Hedberg,Telavox
Peter Carlsson,Amplify Ops
Joachim Hedenius,Swimmer
Johannes Schildt,Boxerfy
Oscar Höglund,Made in Sweden
Jan Zachrisson,Bootstrap capital AB
Hjalmar Winbladh,Rebetl
Lukas Gratte,Redbet
Alexandre Gonthier,iPIN Valista
Jacob De Geer,Ameibo
Serguei Beloussov,Parallels
Protassov,Parallels
Juri Tsibrovski,Parallels
Marc-Alexander Christ,MIOSATO
Sophie Adelman,The Garden
Christian Owens,Mac Bundle Box
Mark Hipperson,Internet Banking Solutions
John Humpish,Custeronomics
Nicolas Cary,Youth Business USA
Victoria van Lennep,GoYoung
Lars Carlstrom,V2H Supercast
Lior Shiff,On the Spot Development
Tom Blomfield,Boso.com
Guillaume Pousaz,Zinal Growth
Tom Blomfield,Boso.com
Paul Rippon,Starling Bank
Jason Bates,Starling Bank
Eduardo Pontes,Braspag, Stone
Simon Knowles,Icera
Johnny Boufarhat,an app for students to get discounts - name TBC
Francesco Simoneschi,Staq, Mission and Market
Stephen Lemon,HiFX
Nik Storonsky,vc fund
Adrien Cohen,Lazada
Simon Beckerman,Retro Superfuture, PIG Magazine, Delli
Vladimiro Mazzotti,Proxima Solution, E-Motion SPA, Zerogrado
Barry Smith,Noah Media Group
Hermann Hauser,Acorn Computers, Active Book Company
Lance Uggla,Beyond Net Zero
Max Cartellieri,Ciao AG
Lance Uggla,Beyond Net Zero
Guillaume Pousaz,Zinal Growth
Nik Storonsky,vc fund
Hermann Hauser,Acorn Computers, Active Book Company
Nicolas Cary,Youth Business USA
